User,Brand,Variety,Type,Date,Strength,Taste,Price,Rating
ghanta,Marlboro,Reds,Regular,2007-06-21,Medium,Tolerable,Fair,3
Karawasa,Marlboro,Reds,Regular,2007-06-23,Very Strong,Tolerable,Fair,4
Tintedace,Camel,Turkish Gold,Regular,2007-06-23,Medium,Very Poor,High,1
Karawasa,Camel,Turkish Gold,Regular,2007-06-23,Strong,Pleasant,Fair,4
Tintedace,Newport,Full Flavor,Regular,2007-06-23,Medium,Very Pleasant,Fair,5
Karawasa,Marlboro,Blend No. 27,Regular,2007-06-23,Medium,Pleasant,Fair,4
Grimey,Camel,No. 9,Regular,2007-06-23,Strong,Poor,Fair,2
Grimey,Marlboro,Reds,Regular,2007-06-23,Very Strong,Poor,Fair,3
Karawasa,Parliament,Lights (White),Regular,2007-06-23,Medium,Tolerable,Fair,3
Grimey,Marlboro,Blend No. 27,Regular,2007-06-23,Weak,Poor,Fair,2
Karawasa,Marlboro,Medium,Regular,2007-06-23,Medium,Poor,Fair,3
Lothar,American Spirit,Mediums,Regular,2007-06-23,Strong,Very Pleasant,High,5
Karawasa,American Spirit,Mediums,Regular,2007-06-23,Medium,Tolerable,High,3
Karawasa,Camel,No. 9,Regular,2007-06-23,Weak,Tolerable,Fair,3
Gracefuldrunk,Winston,Full Flavor,Regular,2007-06-23,Medium,Pleasant,Low,4
Ponzi,Basic,Full Flavor,Regular,2007-06-23,Strong,Tolerable,Low,3
Grimey,Camel,Lights,Regular,2007-06-23,Medium,Very Pleasant,Low,5
Ogiona,Marlboro,Lights,Regular,2007-06-23,Weak,Tolerable,Fair,2
Ariel,American Spirit,Lights,Regular,2007-06-23,Medium,Pleasant,High,4
Karawasa,Marlboro,Lights,Regular,2007-06-23,Medium,Very Pleasant,Fair,4
Cheever,Winston,Lights,Regular,2007-06-24,Weak,Poor,Fair,2
Stewie,Camel,Turkish Silver,Regular,2007-06-24,Strong,Very Pleasant,Low,4
randiskop01,Camel,Lights,Regular,2007-06-24,Medium,Tolerable,Low,3
Cheever,Benson and Hedges,Menthol,100s,2007-06-24,Strong,Pleasant,Fair,4
