1.0,0.0065,[1304146537: HIGH]; ,->,[130414674X: HIGH]; 
1.0,0.0065,[130414674X: HIGH]; ,->,[1304146537: HIGH]; 
1.0,0.0065,[1304146537: HIGH]; ,->,[1304168522: HIGH]; 
0.5,0.0065,[1304168522: HIGH]; ,->,[1304146537: HIGH]; 
1.0,0.0065,[130414674X: HIGH]; ,->,[1304168522: HIGH]; 
0.5,0.0065,[1304168522: HIGH]; ,->,[130414674X: HIGH]; 
0.5,0.0065,[1304168522: HIGH]; ,->,[1304174778: HIGH]; 
0.5,0.0065,[1304174778: HIGH]; ,->,[1304168522: HIGH]; 
0.5,0.0065,[1304174778: HIGH]; ,->,[1304174867: HIGH]; 
1.0,0.0065,[1304174867: HIGH]; ,->,[1304174778: HIGH]; 
0.5,0.0065,[1304174778: HIGH]; ,->,[1304174905: HIGH]; 
1.0,0.0065,[1304174905: HIGH]; ,->,[1304174778: HIGH]; 
0.5,0.0065,[1304174778: HIGH]; ,->,[1304196046: HIGH]; 
1.0,0.0065,[1304196046: HIGH]; ,->,[1304174778: HIGH]; 
0.5,0.0065,[1304174778: HIGH]; ,->,[1304196062: HIGH]; 
1.0,0.0065,[1304196062: HIGH]; ,->,[1304174778: HIGH]; 
1.0,0.0065,[1304174867: HIGH]; ,->,[1304174905: HIGH]; 
1.0,0.0065,[1304174905: HIGH]; ,->,[1304174867: HIGH]; 
1.0,0.0065,[1304174867: HIGH]; ,->,[1304196046: HIGH]; 
1.0,0.0065,[1304196046: HIGH]; ,->,[1304174867: HIGH]; 
1.0,0.0065,[1304174867: HIGH]; ,->,[1304196062: HIGH]; 
1.0,0.0065,[1304196062: HIGH]; ,->,[1304174867: HIGH]; 
1.0,0.0065,[1304174905: HIGH]; ,->,[1304196046: HIGH]; 
1.0,0.0065,[1304196046: HIGH]; ,->,[1304174905: HIGH]; 
1.0,0.0065,[1304174905: HIGH]; ,->,[1304196062: HIGH]; 
1.0,0.0065,[1304196062: HIGH]; ,->,[1304174905: HIGH]; 
1.0,0.0065,[1304196046: HIGH]; ,->,[1304196062: HIGH]; 
1.0,0.0065,[1304196062: HIGH]; ,->,[1304196046: HIGH]; 
0.5,0.0065,[1304482685: HIGH]; ,->,[1304488608: HIGH]; 
1.0,0.0065,[1304488608: HIGH]; ,->,[1304482685: HIGH]; 
0.5,0.0065,[1304482685: HIGH]; ,->,[1304495396: HIGH]; 
0.5,0.0065,[1304495396: HIGH]; ,->,[1304482685: HIGH]; 
